image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
5,computer and cables on a floor in a room with a heater.,9,5,4,0,1,"['computer and cables on a floor in a room with a bar.', 'computer and cables on a floor in a room with a carpet.', 'computer and cables across a floor in a room with a heater.', 'computer and cables on a platform in a room with a heater.', 'computer and express on a floor in a room with a heater.']",0.0,2.0,795.0,597.0
28,"book, vase with flowers, and bowl on a table",9,5,4,0,1,"['book, vase with flowers, and bowl on a center', 'book, vase with flowers, and bowl below a table', 'book, font with flowers, and bowl on a table', 'book, vase with flowers, and pitcher on a table', 'book, vase with flowers, and bottle on a table']",83.0,362.0,453.0,238.0
58,a guy on his way under an underpass at the end of a street with a design; a woman is walking down the street,9,5,4,0,1,"['a guy on his way under an underpass at the end of a street with a painting; a woman is walking down the street', 'a boy on his way under an underpass at the end of a street with a design; a woman is walking down the street', 'a guy on his way under an hall at the end of a street with a design; a woman is walking down the street', 'a guy on his way under an underpass at the end of a street with a construction; a woman is walking down the street', 'a guy on his way under an underpass at the end of a street with a design; a kid is walking down the street']",0.0,178.0,800.0,420.0
79,a couch with a cushion and a lamp near a rack and fireplace,9,5,4,0,2,"['a couch with a cushion and a lamp near a rack and bay', 'a couch with a rocker and a lamp near a rack and fireplace', 'a couch with a cushibelow and a lamp near a rack and fireplace', 'a couch with a cushion and a lamp near a rack and fold', 'a cot with a cushion and a lamp near a rack and fireplace']",251.0,152.0,329.0,202.0
95,salad fork and three glasses on a table,9,5,4,0,1,"['salad fork and three glasses on a center', 'salad fork and three glasses on a flank', 'salad fork and three glasses inside a table', 'salad fork and three jellyes on a table', 'salad fork and three stuffes on a table']",2.0,1.0,352.0,497.0
136,"there is a building with a window and a ramp. there is a person under the building, and a tree outside the building.",9,5,4,0,1,"['there is a tower with a window and a ramp. there is a person under the building, and a tree outside the building.', 'there is a building with a window and a ramp. there is a person under the building, and a banana outside the building.', 'there is a door with a window and a ramp. there is a person under the building, and a tree outside the building.', 'there is a building with a window and a balance. there is a person under the building, and a tree outside the building.', 'there is a building with a frame and a ramp. there is a person under the building, and a tree outside the building.']",0.0,73.0,582.0,333.0
171,a boy standing near a batter who is standing at home plate. the batter has a belt around his waist.,9,5,4,0,1,"['a player standing near a batter who is standing at home plate. the batter has a belt around his waist.', 'a boy standing near a batter who is standing at home plate. the batter has a belt around his middle.', 'a boy standing near a pitcher who is standing at home plate. the batter has a belt around his waist.', 'a boy standing by a batter who is standing at home plate. the batter has a belt around his waist.', 'a boy standing near a batter who is standing at home plate. the batter has a band around his waist.']",401.0,74.0,225.0,429.0
184,pictures on a wall with a thermostat control,9,5,4,0,1,"['pictures on a wall with a thermostat style', 'sets on a wall with a thermostat control', 'pictures on a screen with a thermostat control', 'pictures on a wall with a thermostat good', 'models on a wall with a thermostat control']",2.0,0.0,385.0,377.0
231,a door on a car driving down an intersection with a yield sign,9,5,4,0,1,"['a door across a car driving down an intersection with a yield sign', 'a door on a motorcycle driving down an intersection with a yield sign', 'a door on a cat driving down an intersection with a yield sign', 'a gate on a car driving down an intersection with a yield sign', 'a door on a car driving down an intercept with a yield sign']",1.0,129.0,794.0,469.0
236,cars on a road near a building with windows,9,5,4,0,2,"['cars on a road near a window with windows', 'cars below a road near a building with windows', 'cars on a path near a building with windows', 'cars on a road under a building with windows', 'cars on a road near a bridge with windows']",74.0,13.0,725.0,581.0
