image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
33,"wall with a switch and a painting, and a picture frame with a picture hanged on it",10,6,4,0,2,"['tent with a switch and a painting, and a picture frame with a picture hanged on it', 'box with a switch and a painting, and a picture frame with a picture hanged on it', 'wall with a machine and a painting, and a picture frame with a picture hanged on it', 'wall with a circle and a painting, and a picture frame with a picture hanged on it', 'wall with a switch and a sculpture, and a picture frame with a picture hanged on it']",287.0,9.0,247.0,274.0
40,"table with photos, a vase, and a bow on it, and a chair by the table",10,5,5,0,1,"['table with photos, a vase, and a bridge on it, and a chair by the table', 'table with paper, a vase, and a bow on it, and a chair by the table', 'table with photos, a vase, and a bow on it, and a bench by the table', 'table with photos, a vase, and a bow on it, and a chair around the table', 'row with photos, a vase, and a bow on it, and a chair by the table']",0.0,224.0,559.0,561.0
50,computer mouse and book on desk next to a computer in a book,10,5,5,0,1,"['computer mouse and reference on desk next to a computer in a book', 'computer mouse and book on bed next to a computer in a book', 'computer mouse and book on board next to a computer in a book', 'dog mouse and book on desk next to a computer in a book', 'computer mouse and book on desk next to a computer over a book']",121.0,96.0,678.0,503.0
60,"window with bars on it, and a pole and another pole on the wall",10,5,5,0,1,"['window with bars inside it, and a pole and another pole on the wall', 'window with bars on it, and a pole and another pole on the center', 'grill with bars on it, and a pole and another pole on the wall', 'window with bars on it, and a rail and another pole on the wall', 'window with bars on it, and a lever and another pole on the wall']",44.0,0.0,749.0,600.0
89,"speaker, another speaker, and television, with another speaker and another speaker mounted on the wall",10,6,4,0,2,"['cat, another speaker, and television, with another speaker and another speaker mounted on the wall', 'speaker, another speaker, and radio, with another speaker and another speaker mounted on the wall', 'speaker, another speaker, and reception, with another speaker and another speaker mounted on the wall', 'speaker, another speaker, and television, with another speaker and another speaker mounted on the frame', 'speaker, another speaker, and television, with another speaker and another speaker mounted on the screen']",332.0,3.0,467.0,357.0
176,building with a spire and windows,10,6,4,0,2,"['porch with a spire and windows', 'building with a spire and application', 'building with a spire and bases', 'building with a spire and foots', 'top with a spire and windows']",142.0,61.0,526.0,343.0
194,"a tree next to a building with a window in it, and grass on the ground",10,5,5,0,1,"['a tree next to a building with a window in it, and grass below the ground', 'a tree next to a buildbyg with a window in it, and grass on the ground', 'a tree next to a building with a window in it, and grass on the head', 'a tree next to a wall with a window in it, and grass on the ground', 'a tree next to a building with a window in it, and grass under the ground']",130.0,15.0,249.0,301.0
244,"table with flowers, candles, and a book near a chair",10,5,5,0,1,"['table with flowers, candles, and a book near a counter', 'table with flowers, candles, and a book near a desk', 'row with flowers, candles, and a book near a chair', 'table with flowers, candles, and a reference near a chair', 'table with flowers, candles, and a book in a chair']",455.0,248.0,337.0,305.0
246,"tree with leaves, shadows on a parking lot, car and women",10,6,4,0,2,"['tree with leaves, shadows on a parkunderg lot, car and women', 'tree with leaves, shadows on a parkbelowg lot, car and women', 'tree with leaves, shadows on a parking lot, car and girl', 'tree with leaves, shadows on a parking lot, motorcycle and women', 'tree with stem, shadows on a parking lot, car and women']",2.0,0.0,797.0,599.0
254,wall with a door and a sign above the door. to the left of the door is another door with an exit sign above it,10,5,5,0,1,"['wall with a gate and a sign above the door. to the left of the door is another door with an exit sign above it', 'wall with a door and a file above the door. to the left of the door is another door with an exit sign above it', 'wall with a door and a sign on the door. to the left of the door is another door with an exit sign above it', 'wall with a door and a sign under the door. to the left of the door is another door with an exit sign above it', 'wall with a bar and a sign above the door. to the left of the door is another door with an exit sign above it']",1.0,0.0,568.0,798.0
277,"man with a beard and another beard on his lips, in front of a wall",10,5,5,0,1,"['man with a beard and another beard on his lips, in front of a room', 'man with a ponytail and another beard on his lips, in front of a wall', 'man with a beard and another beard on his neck, in front of a wall', 'man with a beard and another beard on his lips, in front of a billboard', 'girl with a beard and another beard on his lips, in front of a wall']",14.0,11.0,602.0,466.0
312,"car with a wheel and a window, parked by a sidewalk with snow on it",10,5,5,0,1,"['car with a wheel and a rack, parked by a sidewalk with snow on it', 'car with a gun and a window, parked by a sidewalk with snow on it', 'car with a wheel and a window, parked by a sidewalk with air on it', 'car with a wheel and a window, parked by a alley with snow on it', 'car with a wheel and a window, parked by a sidewalk with snow below it']",259.0,66.0,538.0,532.0
320,"building with vents, awning, and tree. there is a window on the building and numbers are on the side of the building.",10,6,4,0,2,"['shelter with vents, awning, and tree. there is a window on the building and numbers are on the side of the building.', 'building with cup, awning, and tree. there is a window on the building and numbers are on the side of the building.', 'building with vents, awning, and tree. there is a sash on the building and numbers are on the side of the building.', 'window with vents, awning, and tree. there is a window on the building and numbers are on the side of the building.', 'building with vents, umbrella, and tree. there is a window on the building and numbers are on the side of the building.']",495.0,0.0,303.0,442.0
