image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
13,computer on floor. floor under computer.,4,2,2,0,1,"['computer inside floor. floor under computer.', 'computer on face. floor under computer.', 'computer on floor. floor by computer.', 'step on floor. floor under computer.', 'computer on platform. floor under computer.']",237.0,391.0,402.0,208.0
36,reflection in light. light from light.,4,2,2,0,1,"['weighing in light. light from light.', 'reflection in ultraviolet. light from light.', 'reflection under light. light from light.', 'reflection in dark. light from light.', 'reflection across light. light from light.']",300.0,90.0,328.0,308.0
40,lamp stand on table. table under lamp stand.,4,2,2,0,1,"['lamp stand below table. table under lamp stand.', 'lamp stand on table. table on lamp stand.', 'lamp stand on center. table under lamp stand.', 'lamp stand inside table. table under lamp stand.', 'lamp stand on table. table at lamp stand.']",100.0,346.0,457.0,453.0
41,cabinet has another handle. there is a handle.,4,3,1,0,2,"['cabinet has another addition. there is a handle.', 'closet has another handle. there is a handle.', 'cabinet has another module. there is a handle.', 'cabinet lack another handle. there is a handle.', 'cabinet refuse another handle. there is a handle.']",3.0,4.0,290.0,226.0
48,leaves on tree. tree has leaves.,4,2,2,0,1,"['stem on tree. tree has leaves.', 'leaves on fern. tree has leaves.', 'leaves across tree. tree has leaves.', 'flesh on tree. tree has leaves.', 'leaves on tree. tree refuse leaves.']",14.0,2.0,356.0,449.0
63,knife has handle. there is another handle.,4,3,1,0,2,"['knife refuse handle. there is another handle.', 'knife has length. there is another handle.', 'knife has crystal. there is another handle.', 'axe has handle. there is another handle.', 'knife lack handle. there is another handle.']",48.0,360.0,448.0,235.0
64,building has balcony. there is a windows.,4,3,1,0,2,"['building has balcony. there is a patch.', 'building refuse balcony. there is a windows.', 'building has band. there is a windows.', 'building has balcony. there is a spider.', 'door has balcony. there is a windows.']",465.0,12.0,247.0,333.0
84,covering on covering. tray on covering.,4,2,2,0,1,"['covering on covering. well on covering.', 'sheet on covering. tray on covering.', 'way on covering. tray on covering.', 'covering on covering. pack on covering.', 'covering across covering. tray on covering.']",329.0,548.0,315.0,248.0
88,painting hanging on wall. there is a fireplace.,4,3,1,0,2,"['painting hanging on wall. there is a bay.', 'scene hanging on wall. there is a fireplace.', 'painting hanging on wall. there is a furnace.', 'painting hanging on bar. there is a fireplace.', 'graphics hanging on wall. there is a fireplace.']",7.0,1.0,164.0,278.0
101,leaves on tree. there is another tree.,4,3,1,0,2,"['head on tree. there is another tree.', 'leaves on bush. there is another tree.', 'leaves under tree. there is another tree.', 'leaves on rosemary. there is another tree.', 'runner on tree. there is another tree.']",243.0,2.0,466.0,347.0
118,lamp has stand. there is a lamp shade.,4,3,1,0,2,"['lamp has safety. there is a lamp shade.', 'stand has stand. there is a lamp shade.', 'lamp refuse stand. there is a lamp shade.', 'lamp has ignition. there is a lamp shade.', 'seat has stand. there is a lamp shade.']",311.0,49.0,183.0,292.0
120,pillow on another sofa. there is a sofa.,4,3,1,0,2,"['pillow on another chair. there is a sofa.', 'pillow inside another sofa. there is a sofa.', 'rat on another sofa. there is a sofa.', 'pillow on another bench. there is a sofa.', 'puff on another sofa. there is a sofa.']",100.0,250.0,268.0,270.0
168,luggage has trim. there is a floors.,4,3,1,0,2,"['well has trim. there is a floors.', 'luggage refuse trim. there is a floors.', 'luggage has trim. there is a port.', 'luggage has trim. there is a reverse.', 'carriage has trim. there is a floors.']",75.0,450.0,406.0,349.0
169,windows behind trays. there is a racks.,4,3,1,0,2,"['windows behind trays. there is a window.', 'windows behind trays. there is a horse.', 'utility behind trays. there is a racks.', 'windows behind plate. there is a racks.', 'windows behind chest. there is a racks.']",3.0,2.0,495.0,370.0
233,clock on another wall. there is a wall.,4,3,1,0,2,"['clock on another stop. there is a wall.', 'bomb on another wall. there is a wall.', 'clock inside another wall. there is a wall.', 'clock under another wall. there is a wall.', 'clock on another corner. there is a wall.']",70.0,0.0,308.0,177.0
