image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
1,a car parked on a street next to a tree. the street has a parking meter and a lamp post. there are bikes near the tree.,11,6,5,0,1,"['a car parked on a lamp post next to a tree. the lamp post has a parking meter and a street. there are bikes near the tree.', 'a car parked on a street next to a tree. the street has a parking meter and a lamp post. there are bikes on top of the tree.', 'a car parked on a bikes next to a tree. the bikes has a parking meter and a lamp post. there are street near the tree.', 'a car parked on a tree next to a street. the tree has a parking meter and a lamp post. there are bikes near the street.', 'a lamp post parked on a street next to a tree. the street has a parking meter and a car. there are bikes near the tree.']",249.0,0.0,550.0,516.0
9,"shelves with books and a baby on them, against a wall with a corkboard and posters",11,6,5,0,1,"['shelves with wall and a baby on them, against a books with a corkboard and posters', 'shelves with books and a baby on them, against a wall with a corkboard and bookshelf', 'shelves with books and a wall on them, against a baby with a corkboard and posters', 'baby with books and a shelves on them, against a wall with a corkboard and posters', 'cork-board with books and a baby on them, against a wall with a corkboard and posters']",22.0,120.0,243.0,351.0
37,"a table with a glass, plate, apples in a bowl, and books",11,7,4,0,3,"['a table with a glass, plate, books in a bowl, and apples', 'a bowl with a glass, plate, apples in a table, and books', 'a apples with a glass, plate, table in a bowl, and books', 'a books with a glass, plate, apples in a bowl, and table', 'a table with a glass, plate, apples in a books, and bowl']",352.0,287.0,447.0,245.0
64,a windmill with three blades in front of a tree,11,6,5,0,1,"['a blade with three windmills in front of a tree', 'a windmill with three tree in front of a blades', 'a tree with three blades in front of a windmill', 'a windmill with three trees in front of a blade', 'a windmill with three blades in frin front oft of a tree']",217.0,35.0,300.0,372.0
82,"a coffee maker on a counter with a washing machine and dishwasher under the counter, cabinets above the counter, and a sink on the counter",11,6,5,0,1,"['a coffee maker on a counter with a washing machine and dishwasher above the counter, cabinets under the counter, and a sink on the counter', 'a coffee maker on a counter with a sink and dishwasher under the counter, cabinets above the counter, and a washing machine on the counter', 'a coffee maker on a washing machine with a counter and dishwasher under the washing machine, cabinets above the washing machine, and a sink on the washing machine', 'a coffee maker above a counter with a washing machine and dishwasher under the counter, cabinets on the counter, and a sink above the counter', 'a coffee maker on a dishwasher with a washing machine and counter under the dishwasher, cabinets above the dishwasher, and a sink on the dishwasher']",1.0,26.0,382.0,572.0
98,"a cardboard under a pan, and a deep dish pizza in the pan. the pan is filled with the deep dish pizza and there is a spatula in the deep dish pizza.",11,4,4,3,1,"['a cardboard under a spatula, and a deep dish pizza in the spatula. the spatula is filled with the deep dish pizza and there is a pan in the deep dish pizza.', 'a cardboard under a pan, and a deep dish pizza filled with a the pan. the pan is filled with the deep dish pizza and there is a spatula filled with a the deep dish pizza.', 'a cardboard in a pan, and a deep dish pizza under the pan. the pan is filled with the deep dish pizza and there is a spatula in the deep dish pizza.', 'a spatula under a pan, and a deep dish pizza in the pan. the pan is filled with the deep dish pizza and there is a cardboard in the deep dish pizza.', 'a dish pizza under a pan, and a deep cardboard in the pan. the pan is filled with the deep dish pizza and there is a spatula in the deep dish pizza.']",242.0,80.0,258.0,212.0
136,building with a window and an archway underneath it. there is a tree outside the building and a ramp near the building. there is a person underneath the building.,11,6,5,0,1,"['building with a window and an archway underneath it. there is a person outside the building and a ramp near the building. there is a tree underneath the building.', 'building with a person and an archway underneath it. there is a tree outside the building and a ramp near the building. there is a window underneath the building.', 'tree with a window and an archway underneath it. there is a building outside the tree and a ramp near the tree. there is a person underneath the tree.', 'building with a window and an archway underneath it. there is a tree outside the building and a ramp near the building. there is a forest underneath the building.', 'building with a forest and an archway underneath it. there is a tree outside the building and a ramp near the building. there is a person underneath the building.']",0.0,73.0,582.0,333.0
156,a man with two eyes and a torso. the man is standing in a room and has a hand.,11,6,5,0,1,"['a room with two eyes and a torso. the room is standing in a man and has a hand.', 'a torso with two eyes and a man. the torso is standing in a room and has a hand.', 'a man with two hands and a torso. the man is standing in a room and has a eye.', 'a eye with two mans and a torso. the eye is standing in a room and has a hand.', 'a man with two rooms and a torso. the man is standing in a eye and has a hand.']",2.0,1.0,637.0,477.0
303,"a building with a window, door, steps, and a bicycle chained to a pole. the building has shade.",11,7,4,0,3,"['a pole with a window, door, steps, and a bicycle chained to a building. the pole has shade.', 'a bicycle with a window, door, steps, and a building chained to a pole. the bicycle has shade.', 'a shade with a window, door, steps, and a bicycle chained to a pole. the shade has building.', 'a building with a window, door, steps, and a shade chained to a pole. the building has bicycle.', 'a door with a window, building, steps, and a bicycle chained to a pole. the door has shade.']",97.0,53.0,534.0,378.0
313,a truck next to a building with a window and a door. the door has a shadow on the side,11,6,5,0,1,"['a truck next to a building with a window and a door. the door has a car on the side', 'a truck next to a building with a window and a shadow. the door has a door on the side', 'a shadow next to a building with a window and a door. the door has a truck on the side', 'a truck next to a car with a window and a door. the door has a shadow on the side', 'a truck next to a building with a window and a car. the door has a shadow on the side']",3.0,75.0,433.0,431.0
379,"a microwave, a bottle of soap, a pitcher, and a sponge on a counter",11,6,5,0,1,"['a microwave, a bottle of soap, a pitcher, and a counter on a sponge', 'a microwave, a bottle of soap, a pitcher, and a orange on a counter', 'a microwave, a bottle of soap, a orange, and a sponge on a counter', 'a microwave, a bottle of soap, a pitcher, and a sponge on a orange', 'a microwave, a orange of soap, a pitcher, and a sponge on a counter']",92.0,123.0,687.0,403.0
442,"a skull with feathers attached to it, flowers around it, ribbons hanging on the wall, and plates hanging on the wall",11,6,5,0,1,"['a skull with wall attached to it, flowers around it, ribbons hanging on the feathers, and plates hanging on the wall', 'a skull with feathers attached to it, flowers around it, ribbons hanging on the plates, and wall hanging on the plates', 'a flowers with feathers attached to it, skull around it, ribbons hanging on the wall, and plates hanging on the wall', 'a plates with feathers attached to it, flowers around it, ribbons hanging on the wall, and skull hanging on the wall', 'a ribbons with feathers attached to it, flowers around it, skull hanging on the wall, and plates hanging on the wall']",64.0,55.0,333.0,561.0
453,a shadow of a doorway on a building. there is a person in front of the building and another person and a man to the right of the shadow.,11,7,4,0,3,"['a shadow of a doorway on a person. there is a building in front of the person and another building and a man to the right of the shadow.', 'a shadow of a doorway behind a building. there is a person in front of the building and another person and a man to the right of the shadow.', 'a man of a doorway on a building. there is a person in front of the building and another person and a shadow to the right of the man.', 'a person of a doorway on a building. there is a shadow in front of the building and another person and a man to the right of the person.', 'a doorway of a shadow on a building. there is a person in front of the building and another person and a man to the right of the doorway.']",7.0,0.0,788.0,599.0
545,"a bed with a pillow, blanket, and sheet. there is a chair beside the bed and a wall behind the bed.",11,6,5,0,1,"['a bed with a pillow, blanket, and chair. there is a sheet beside the bed and a wall behind the bed.', 'a bed with a wall, blanket, and sheet. there is a chair beside the bed and a pillow behind the bed.', 'a bed with a pillow, blanket, and sheet. there is a chair on the bed and a wall behind the bed.', 'a pillow with a bed, blanket, and sheet. there is a chair beside the pillow and a wall behind the pillow.', 'a bed with a pillow, wall, and sheet. there is a chair beside the bed and a blanket behind the bed.']",315.0,3.0,484.0,597.0
551,"a table with a birdcage, some oranges, and a lamp on an end table. yarn is under the table.",11,7,4,0,3,"['a lamp with a birdcage, some oranges, and a table on an end lamp. yarn is under the lamp.', 'a yarn with a birdcage, some oranges, and a lamp on an end table. table is under the yarn.', 'a table with a birdcage, some yarn, and a lamp on an end table. oranges is under the table.', 'a table with a birdcage, some oranges, and a lamp under an end table. yarn is on the table.', 'a table with a birdcage, some oranges, and a lamp on an yarn. end table is under the table.']",20.0,218.0,609.0,380.0
