image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
15,red computer in a room,6,3,2,1,1,"['red picture in a room', 'photo computer in a room', 'red computer in a picture', 'red photo in a room', 'red computer in a photo']",1.0,3.0,797.0,595.0
249,painting hanging on wall and heater above floor,6,4,2,0,2,"['floor hanging on wall and heater above painting', 'painting hanging on floor and heater above wall', 'painting above wall and heater hanging on floor', 'wall hanging on painting and heater above floor', 'painting hanging on wall and floor above heater']",0.0,0.0,799.0,598.0
286,"a bowl on top of a table, and a basket of bread.",6,4,2,0,2,"['a bowl on top of a basket, and a table of bread.', 'a bowl on top of a bread, and a basket of table.', 'a bread on top of a table, and a basket of bowl.', 'a table on top of a bowl, and a basket of bread.', 'a basket on top of a table, and a bowl of bread.']",56.0,0.0,418.0,320.0
1150,there is a phone on the counter and a packet on the desk,6,4,2,0,2,"['there is a counter on the phone and a packet on the desk', 'there is a packet on the counter and a phone on the desk', 'there is a phone on the packet and a counter on the desk', 'there is a phone on the counter and a desk on the packet', 'there is a desk on the counter and a packet on the phone']",8.0,196.0,256.0,275.0
1595,pole on stairs with a pumpkin on the porch,6,4,2,0,2,"['pole on pumpkin with a stairs on the porch', 'pole on stairs with a porch on the pumpkin', 'pumpkin on stairs with a pole on the porch', 'pole on porch with a pumpkin on the stairs', 'stairs on pole with a pumpkin on the porch']",2.0,200.0,584.0,398.0
1717,a bicycle leaning against a pole and a motorcycle parked next to a city street,6,4,2,0,2,"['a pole leaning against a bicycle and a motorcycle parked next to a city street', 'a bicycle leaning against a motorcycle and a pole parked next to a city street', 'a motorcycle leaning against a pole and a bicycle parked next to a city street', 'a city street leaning against a pole and a motorcycle parked next to a bicycle', 'a bicycle parked next to a pole and a motorcycle leaning against a city street']",4.0,113.0,772.0,480.0
2210,books tucked into a tv stand with blinds on the window,6,4,2,0,2,"['books tucked into a blinds with tv stand on the window', 'books tucked into a tv stand with window on the blinds', 'blinds tucked into a tv stand with books on the window', 'tv stand tucked into a books with blinds on the window', 'window tucked into a tv stand with blinds on the books']",0.0,52.0,418.0,530.0
2847,a tree above the ground and a pole on the ground with a street,6,4,2,0,2,"['a street above the ground and a pole on the ground with a tree', 'a ground above the tree and a pole on the tree with a sgroundt', 'a tree above the street and a pole on the street with a ground', 'a tree above the pole and a ground on the pole with a street', 'a tree above the ground and a street on the ground with a pole']",39.0,2.0,736.0,583.0
3273,woman wearing a skirt and a man walking on a sidewalk,6,4,2,0,2,"['woskirt wearing a man and a skirt walking on a sidewalk', 'sidewalk wearing a skirt and a man walking on a woman', 'man wearing a skirt and a woman walking on a sidewalk', 'woman wearing a sidewalk and a man walking on a skirt', 'wosidewalk wearing a skirt and a sidewalk walking on a man']",483.0,275.0,315.0,200.0
3636,man holding parrot that is sitting on his hand; ponytail,6,4,2,0,2,"['parrot holding man that is sitting on his hand; ponytail', 'ponytail holding parrot that is sitting on his hand; man', 'man sitting on parrot that is holding his hand; ponytail', 'man holding hand that is sitting on his parrot; ponytail', 'man holding ponytail that is sitting on his hand; parrot']",130.0,45.0,321.0,453.0
3701,a window on a building and a car on the roadside,6,4,2,0,2,"['a car on a building and a window on the roadside', 'a window on a roadside and a car on the building', 'a window on a building and a roadside on the car', 'a building on a window and a car on the roadside', 'a window on a car and a building on the roadside']",10.0,78.0,210.0,412.0
4167,"a turret on a building, and a bush near a door",6,4,2,0,2,"['a turret on a door, and a bush near a building', 'a turret on a building, and a bush of a door', 'a turret on a bush, and a building near a door', 'a bush on a building, and a turret near a door', 'a building on a turret, and a bush near a door']",22.0,29.0,286.0,319.0
4181,text in corner of photo with name,6,4,2,0,2,"['text in corner of name with photo', 'text in corner of photo with picture', 'photo in corner of text with name', 'text in corner of lettering with name', 'picture in corner of photo with name']",0.0,1.0,798.0,598.0
4733,a latch on a building and a fence behind some trees,6,4,2,0,2,"['a trees on a building and a fence behind some latch', 'a fence on a building and a latch behind some trees', 'a latch on a building and a trees behind some fence', 'a latch on a fence and a building behind some trees', 'a latch behind a building and a fence on some trees']",1.0,34.0,397.0,237.0
2364447,"there is a sheep behind a fence, and a goat on top of a hill.",6,4,2,0,2,"['there is a sheep on top of a fence, and a goat behind a hill.', 'there is a sheep behind a goat, and a fence on top of a hill.', 'there is a goat behind a fence, and a sheep on top of a hill.', 'there is a sheep behind a fence, and a hill on top of a goat.', 'there is a hill behind a fence, and a goat on top of a sheep.']",5.0,2.0,408.0,238.0
2365422,man on a bench near a walkway with a tree in front of the bench,6,4,2,0,2,"['walkway on a bench near a man with a tree in front of the bench', 'man on a tree near a walkway with a bench in front of the tree', 'man on a walkway near a bench with a tree in front of the walkway', 'tree on a bench near a walkway with a man in front of the bench', 'bench on a man near a walkway with a tree in front of the man']",1.0,2.0,483.0,365.0
2365609,"a shelf over a counter, and a bucket with a handle",6,4,2,0,2,"['a bucket over a counter, and a shelf with a handle', 'a shelf over a bucket, and a counter with a handle', 'a handle over a counter, and a bucket with a shelf', 'a shelf over a handle, and a bucket with a counter', 'a counter over a shelf, and a bucket with a handle']",17.0,157.0,476.0,328.0
2365691,grass on the ground with trees growing behind trucks,6,4,2,0,2,"['grass on the trees with ground growing behind trucks', 'grass growing behind the ground with trees on trucks', 'trees on the ground with grass growing behind trucks', 'grass on the trucks with trees growing behind ground', 'grass on the ground with trucks growing behind trees']",0.0,39.0,499.0,292.0
2365889,batter wearing helmet and 2 on shirt,6,4,2,0,2,"['helmet wearing batter and 2 on shirt', 'shirt wearing helmet and 2 on batter', '2 wearing helmet and batter on shirt', 'batter wearing shirt and 2 on helmet', 'batter wearing 2 and helmet on shirt']",18.0,126.0,177.0,290.0
2366769,a mirror hung on the wall with lamps above it and a sink beneath it,6,4,2,0,2,"['a mirror hung on the lamps with wall above it and a sink beneath it', 'a sink hung on the wall with lamps above it and a mirror beneath it', 'a mirror hung on the sink with lamps above it and a wall beneath it', 'a wall hung on the mirror with lamps above it and a sink beneath it', 'a mirror hung on the wall with sink above it and a lamps beneath it']",2.0,3.0,372.0,472.0
2359443,a plant in a pot and some plants on a box,6,4,2,0,2,"['a plant in a box and some plants on a pot', 'a plants in a pot and some plantss on a box', 'a box in a pot and some plants on a plant', 'a plant in a plants and some pot on a box', 'a pot in a plant and some pots on a box']",8.0,0.0,270.0,244.0
