image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
5,computer and cables on a floor in a room with a heater.,9,5,4,0,1,"['computer and cables on a heater in a room with a floor.', 'computer and heater on a floor in a room with a cables.', 'heater and cables on a floor in a room with a computer.', 'computer and room on a floor in a cables with a heater.', 'room and cables on a floor in a computer with a heater.']",0.0,2.0,795.0,597.0
58,a guy on his way under an underpass at the end of a street with a design; a woman is walking down the street,9,5,4,0,1,"['a guy on his way under an street at the end of a underpass with a design; a woman is walking down the underpass', 'a underpass on his way under an guy at the end of a street with a design; a woman is walking down the street', 'a guy on his way under an underpass at the end of a design with a street; a woman is walking down the design', 'a guy on his way under an underpass at the end of a street with a woman; a design is walking down the street', 'a design on his way under an underpass at the end of a street with a guy; a woman is walking down the street']",0.0,178.0,800.0,420.0
79,a couch with a cushion and a lamp near a rack and fireplace,9,5,4,0,2,"['a couch with a cushinear and a lamp on a rack and fireplace', 'a couch with a rack and a lamp near a cushion and fireplace', 'a couch with a cushion and a rack near a lamp and fireplace', 'a fireplace with a cushion and a lamp near a rack and couch', 'a rack with a cushion and a lamp near a couch and fireplace']",251.0,152.0,329.0,202.0
136,"there is a building with a window and a ramp. there is a person under the building, and a tree outside the building.",9,5,4,0,1,"['there is a forest with a window and a ramp. there is a person under the forest, and a tree outside the forest.', 'there is a building with a window and a forest. there is a person under the building, and a tree outside the building.', 'there is a building with a window and a ramp. there is a person under the building, and a tree underneath the building.', 'there is a building with a window and a ramp. there is a tree under the building, and a person outside the building.', 'there is a person with a window and a ramp. there is a building under the person, and a tree outside the person.']",0.0,73.0,582.0,333.0
171,a boy standing near a batter who is standing at home plate. the batter has a belt around his waist.,9,5,4,0,1,"['a waist standing near a batter who is standing at home plate. the batter has a belt around his boy.', 'a home plate standing near a batter who is standing at boy. the batter has a belt around his waist.', 'a boy standing near a batter who is standing at belt. the batter has a home plate around his waist.', 'a boy standing near a belt who is standing at home plate. the belt has a batter around his waist.', 'a belt standing near a batter who is standing at home plate. the batter has a boy around his waist.']",401.0,74.0,225.0,429.0
236,cars on a road near a building with windows,9,5,4,0,2,"['cars on a building near a road with windows', 'cars on a windows near a building with road', 'buildings on a road near a car with windows', 'building on a road near a cars with windows', 'cars on a road on top of a building with windows']",74.0,13.0,725.0,581.0
381,a computer on a shelf with a light reflecting off of it. there are chords under the computer and a keyboard on the computer.,9,5,4,0,1,"['a keyboard on a shelf with a light reflecting off of it. there are chords under the computer and a computer on the keyboard.', 'a shelf on a computer with a light reflecting off of it. there are chords under the shelf and a keyboard on the computer.', 'a computer on a shelf with a keyboard reflecting off of it. there are chords under the computer and a light on the computer.', 'a computer on a shelf with a light reflecting off of it. there are chords above the computer and a keyboard on the computer.', 'a light on a shelf with a computer reflecting off of it. there are chords under the light and a keyboard on the light.']",97.0,13.0,701.0,537.0
406,"dvd's, a box, and wine glasses on a shelf on a wall.",9,5,4,0,1,"[""dvd's, a box, and wine glasses on a bookshelf on a wall."", ""dvd's, a bookshelf, and wine glasses on a shelf on a wall."", 'bookshelf, a box, and wine glasses on a shelf on a wall.', ""dvd's, a box, and wine glasses on a shelf on a bookshelf."", ""dvd's, a box, and bookshelf on a shelf on a wall.""]",520.0,24.0,279.0,356.0
508,"toilet paper and tissues on a tank, with a towel hanging on the wallpaper behind them.",9,5,4,0,2,"['toilet paper and box on a tank, with a towel hanging on the wallpaper behind them.', 'toilet paper and tissues on a tank, with a towel hanging on the box behind them.', 'toilet paper and towel on a tank, with a tissues hanging on the wallpaper behind them.', 'toilet paper and tissues on a towel, with a tank hanging on the wallpaper behind them.', 'toilet paper and tissues on a tank, with a box hanging on the wallpaper behind them.']",0.0,1.0,568.0,320.0
530,a car driving on a road in front of a house with a window and a flag,9,5,4,0,1,"['a window driving on a road in front of a house with a car and a flag', 'a car driving on a window in front of a house with a road and a flag', 'a car driving on a house in front of a road with a window and a flag', 'a flag driving on a road in front of a house with a window and a car', 'a house driving on a road in front of a car with a window and a flag']",33.0,29.0,719.0,562.0
