image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
33,"wall with a switch and a painting, and a picture frame with a picture hanged on it",10,6,4,0,2,"['Wall with a switch and a painting, and something frame with something hanged on it. There is no picture.', 'Wall with a switch and a painting, and a picture frame with a picture not hanged on it', 'Wall with a switch and a painting, and a picture frame with a picture hanged on it. There are no two art works.', 'Wall with a switch and a painting, and a picture frame with a picture hanged on it. There is no wall.', 'There is no wall with a switch and a painting, and a picture frame with a picture hanged on it']",287.0,9.0,247.0,274.0
40,"table with photos, a vase, and a bow on it, and a chair by the table",10,5,5,0,1,"['Table with photos, a vase, and something on it, and a chair by the table. There is no bow.', 'Table with photos, a vase, and a bow on it, and a chair not by the table', 'Table with photos, a vase, and a bow on it, and something by the table. There is no chair.', 'Table with photos, a vase, and a bow on it, and a chair by the table. There is no sofa.', 'There is no table with photos, a vase, and a bow on it, and a chair by the table']",0.0,224.0,559.0,561.0
50,computer mouse and book on desk next to a computer in a book,10,5,5,0,1,"['Computer mouse and book on desk next to a computer not in a book', 'Computer mouse and book on something next to a computer in a book. There is no desk.', 'Computer mouse and book on desk next to a computer in a book. There is no computer tower.', 'Computer mouse and book on desk next to a computer in a book. There is no push pin.', 'Computer mouse and book not on desk next to a computer in a book']",121.0,96.0,678.0,503.0
60,"window with bars on it, and a pole and another pole on the wall",10,5,5,0,1,"['Window with bars on it, and a pole and another pole on something. There is no wall.', 'Window with something on it, and a pole and another pole on the wall. There are no bars.', 'Window with bars on it, and a pole and another pole on the wall. There is no building.', 'There is no window with bars on it, and a pole and another pole on the wall', 'Window with bars on it, and something and another pole on the wall. There is no pole.']",44.0,0.0,749.0,600.0
89,"speaker, another speaker, and television, with another speaker and another speaker mounted on the wall",10,6,4,0,2,"{'Speaker, another speaker, and television, with another something and another something mounted on the wall. There is no speaker.', 'Speaker, another speaker, and television, with another speaker and another speaker mounted on the wall. There is no television.', 'There is no speaker, another speaker, and television, with another speaker and another speaker mounted on the wall', 'Speaker, another speaker, and television, with another speaker and another speaker mounted on something. There is no wall.', 'Speaker, another speaker, and television, with another speaker and another speaker not mounted on the wall'}",332.0,3.0,467.0,357.0
176,building with a spire and windows,10,6,4,0,2,"{'Building with a spire and windows. There is no building.', 'Building with something and windows. There is no spire.', 'Building with a spire and windows. There are no windows.', 'Building with a spire and windows. There is no window.', 'There is no building with a spire and windows'}",142.0,61.0,526.0,343.0
194,"a tree next to a building with a window in it, and grass on the ground",10,5,5,0,1,"['A tree next to a building with a window in it, and grass on the ground. There is no tree.', 'A tree next to something with a window in it, and grass on the ground. There is no building.', 'There is no tree next to a building with a window in it, and grass on the ground', 'A tree next to a building with a window in it, and grass on something. There is no ground.', 'A tree next to a building with a window in it, and something on the ground. There are no grass.']",130.0,15.0,249.0,301.0
244,"table with flowers, candles, and a book near a chair",10,5,5,0,1,"['Table with flowers, candles, and a book near a chair. There are no flowers.', 'Table with flowers, candles, and a book near something. There is no chair.', 'Table with flowers, candles, and a book near a chair. There are no candles.', 'Table with flowers, candles, and something near a chair. There is no book.', 'Table with flowers, candles, and a book not near a chair']",455.0,248.0,337.0,305.0
246,"tree with leaves, shadows on a parking lot, car and women",10,6,4,0,2,"['Tree with leaves, shadows on a parking lot, something and women. There is no car.', 'Tree with leaves, shadows on a parking lot, car and women. There are no leaves.', 'Tree with leaves, shadows on something, car and women. There is no parking lot.', 'There is no tree with leaves, shadows on a parking lot, car and women', 'Tree with leaves, something on a parking lot, car and women. There are no shadows.']",2.0,0.0,797.0,599.0
254,wall with a door and a sign above the door. to the left of the door is another door with an exit sign above it,10,5,5,0,1,"['Wall with a door and something above the door. To the left of the door is another door with an exit sign above it. There is no sign.', 'There is no wall with a door and a sign above the door. To the left of the door is another door with an exit sign above it', 'Wall with a door and a sign not above the door. To the left of the door is another door with an exit sign not above it', 'Wall with a door and a sign above the door. To the left of the door is another door with an exit sign above it. There is no wall.', 'Wall with a door and a sign above the door. To the left of the door is another door with something above it. There is no exit sign.']",1.0,0.0,568.0,798.0
