image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
5,"keyboard, computer monitor, printer, and fax machine on a desk, with a chair against the wall.",12,7,5,0,2,"['Keyboard, computer monitor, printer, and fax machine not on a desk, with a chair against the wall.', 'Keyboard, computer monitor, printer, and fax machine on a desk, with a chair against the wall. There is no keyboard.', 'Keyboard, computer monitor, printer, and fax machine on a desk, with something against the wall. There is no chair.', 'Keyboard, computer monitor, printer, and fax machine on a desk, with a chair not against the wall.', 'Keyboard, computer monitor, printer, and fax machine on something, with a chair against the wall. There is no desk.']",120.0,9.0,673.0,589.0
6,"a glass of water on a counter with an apple, a bag of food, and a chair with a leg.",12,7,5,0,2,"['A glass of water on a counter with an apple, a bag of food, and something with a leg. There is no chair.', 'A glass of water on something with an apple, a bag of food, and a chair with a leg. There is no counter.', 'A glass of water on a counter with an apple, a bag of food, and a chair with a leg. There is no table-top.', 'A glass of water on a counter with an apple, a bag of food, and a chair with a leg. There are no glass.', 'A glass of water on a counter with an apple, a bag of food, and a chair with a leg. There is no counter top.']",0.0,0.0,799.0,531.0
8,man with a hand on a keyboard in front of a cpu. there is a mouse on the desk and a dish on top of the cpu.,12,7,5,0,2,"['Man with a hand on a keyboard in front of a CPU. There is a mouse on something and a dish on top of the CPU. There is no desk.', 'Man with a hand on a keyboard in front of a CPU. There is a mouse on the desk and something on top of the CPU. There is no dish.', 'There is no man with a hand on a keyboard in front of a CPU. There is a mouse on the desk and a dish on top of the CPU.', 'Man with a hand on a keyboard in front of a CPU. There is a mouse on the desk and a dish not on top of the CPU.', 'Man with a hand on a keyboard in front not of a CPU. There is a mouse on the desk and a dish on top not of the CPU.']",27.0,254.0,544.0,344.0
11,computer on a desk with a mouse and cup. there is a computer tower below the desk and lint on the floor.,12,7,5,0,2,"['Computer on a desk with a mouse and cup. There is a computer tower below the desk and lint on something. There is no floor.', 'Computer not on a desk with a mouse and cup. There is a computer tower below the desk and lint not on the floor.', 'Computer on a desk with a mouse and cup. There is a something tower below the desk and lint on the floor. There is no computer.', 'Computer on a desk with a mouse and cup. There is a computer tower below the desk and lint on the floor. There is no cup.', 'Computer on a desk with something and cup. There is a computer tower below the desk and lint on the floor. There is no mouse.']",8.0,16.0,597.0,517.0
13,"a rolodex, desk, chair, monitor, and book on a desk. there is a picture of a baby propped up against the monitor.",12,7,5,0,2,"['A Rolodex, desk, chair, monitor, and book on a desk.  Of a baby propped up against the monitor. There is no picture.', 'A Rolodex, desk, chair, monitor, and book not on a desk. There is a picture of a baby propped up against the monitor.', 'A Rolodex, desk, chair, monitor, and something on a desk. There is a picture of a baby propped up against the monitor. There is no book.', 'A Rolodex, desk, chair, monitor, and book on a desk. There is a picture of a baby propped up against the monitor. There is no magazine.', 'A Rolodex, desk, chair, monitor, and book on a desk. There is a picture of a baby propped up against the monitor. There is no Rolodex.']",3.0,53.0,796.0,544.0
14,"envelope, soda cup, book, and pen on a desk next to a computer monitor. there is a picture on the desk.",12,7,5,0,2,"['Envelope, soda cup, book, and pen on a desk next to a computer monitor. There is a picture on the desk. There is no cup.', 'There is no envelope, soda cup, book, and pen on a desk next to a computer monitor. There is a picture on the desk.', 'Envelope, soda cup, book, and pen on a desk next to a computer monitor. There is a picture on the desk. There is no book.', 'Envelope, soda cup, book, and pen on a desk next to a computer monitor. There is a picture on the desk. There is no table.', 'Envelope, soda cup, book, and pen on a desk next to a computer monitor.  On the desk. There is no picture.']",2.0,6.0,797.0,593.0
16,"man and people on a sidewalk next to a parking meter. a boy is walking on a street, and he has a jacket on.",12,7,5,0,2,"['Man and people on something next to a parking meter. A boy is walking on a street, and he has a jacket on. There is no sidewalk.', 'Man and people on a sidewalk next to a parking meter. Something is walking on a street, and he has a jacket on. There is no boy.', 'Man and people on a sidewalk next to a parking meter. A boy is walking on a street, and he has something on. There is no jacket.', 'Man and people on a sidewalk next to a parking meter. A boy is walking on something, and he has a jacket on. There is no street.', 'Man and something on a sidewalk next to a parking meter. A boy is walking on a street, and he has a jacket on. There are no people.']",11.0,165.0,778.0,423.0
19,there is tape on the wall and a pipe. the tape is holding cords and there is another piece of tape on the wall.,12,7,5,0,3,"['There is tape on something and a pipe. The tape is holding cords and there is another piece of tape on something. There is no wall.', 'There is tape on the wall and a pipe. The tape is holding something and there is another piece of tape on the wall. There are no cords.', 'There is tape on the wall and something. The tape is holding cords and there is another piece of tape on the wall. There is no pipe.', ' On the wall and a pipe. The something is holding cords and there is another piece of something on the wall. There is no tape.', 'There is tape on the wall and a pipe. The tape is not holding cords and there is another piece of tape on the wall.']",64.0,2.0,725.0,378.0
21,girl next to woman. woman wearing tshirt. picture in album. photo in album. album on lap.,12,7,5,0,2,"['Girl next to woman. Woman wearing shirt. Picture in album. Something in album. Album on lap. There is no photo.', 'Girl next to woman. Woman wearing shirt. Picture in album. Photo in album. Album on lap. There is no kid.', 'Girl next to woman. Woman wearing shirt. Picture in album. Photo in album. Album on lap. There is no top.', 'Girl next to woman. Something wearing shirt. Picture in album. Photo in album. Album on lap. There is no woman.', 'Girl next to woman. Woman wearing shirt. Picture not in album. Photo not in album. Album on lap.']",2.0,9.0,190.0,240.0
30,"stand with handles and advertisements, with a tv resting on top of three drawers. the surface of the tv has a reflection, and there is a sign on top of the stand.",12,7,5,0,2,"['There is no stand with handles and advertisements, with a TV resting on top of three drawers. The surface of the TV has a reflection, and there is a sign on top of the stand.', 'Stand with handles and advertisements, with a TV not resting on top of three drawers. The surface of the TV has a reflection, and there is a sign on top of the stand.', 'Stand with handles and advertisements, with a TV resting on top of three drawers. The surface of the TV has something, and there is a sign on top of the stand. There is no reflection.', 'Stand with handles and advertisements, with a TV resting on top of three drawers. The surface of the TV has a reflection, and there is a sign on top of the stand. There are no drawers.', 'Stand with handles and advertisements, with a TV resting on top of three drawers. The surface of the TV has a reflection, and there is a sign on top of the stand. There is no television.']",445.0,27.0,341.0,570.0
