image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
26,a statue in an outdoor scene with trees and buildings,8,4,3,1,1,"['A statue not in an outdoor scene with trees and buildings', 'A statue in an outdoor scene with trees and buildings. There is no statue.', 'There is no statue in an outdoor scene with trees and buildings', 'A statue in an outdoor scene with something and buildings. There are no trees.', 'A statue in an outdoor something with trees and buildings. There is no scene.']",9.0,8.0,787.0,588.0
49,"street with signs and buildings lining it, and the sky near the buildings",8,4,4,0,1,"['Street with signs and something lining it, and the sky near the buildings. There are no buildings.', 'Street with signs and buildings not lining it, and the sky near the buildings', 'Street with signs and buildings lining it, and something near the buildings. There is no sky.', 'Street with something and buildings lining it, and the sky near the buildings. There are no signs.', 'Street with signs and buildings lining it, and the sky not near the buildings']",2.0,0.0,596.0,797.0
60,"a moped with a tire and seat, and a license plate",8,4,4,0,1,"['A moped with a tire and seat, and a license plate. There is no moped.', 'There is no moped with a tire and seat, and a license plate', 'A moped with something and seat, and a license plate. There is no tire.', 'A moped with a tire and seat, and a license plate. There is no seat.', 'A moped with a tire and seat, and something. There is no license plate.']",277.0,270.0,195.0,310.0
70,empty black leather chairs in room,8,4,2,2,2,"['Empty black leather something in room. There are no chairs.', 'Empty black leather chairs in room. There is no room.', 'Empty not black leather chairs in room', 'There is no empty black leather chairs in room', 'Empty black leather chairs in room. There is no empty.']",100.0,58.0,500.0,381.0
117,"a painting on a building, with light on the building, and the building on a wall",8,5,3,0,2,"['A painting on a building, with something on the building, and the building on a wall. There is no light.', 'A painting not on a building, with light not on the building, and the building not on a wall', 'There is no painting on a building, with light on the building, and the building on a wall', 'A painting on a building, with light on the building, and the building on a wall. There is no painting.', 'A painting on something, with light on the building, and the building on a wall. There is no building.']",10.0,1.0,786.0,548.0
183,"chair holding a booster, with another seat and another seat in the chair",8,5,3,0,2,"['Chair holding a booster, with something and something in the chair. There is no seat.', 'There is no chair holding a booster, with another seat and another seat in the chair', 'Chair not holding a booster, with another seat and another seat in the chair', 'Chair holding something, with another seat and another seat in the chair. There is no booster.', 'Chair holding a booster, with another seat and another seat in the chair. There is no chair.']",158.0,161.0,318.0,352.0
199,a salad and sandwich on a plate with a fork,8,4,4,0,1,"['A salad and something on a plate with a fork. There is no sandwich.', 'There is no salad and sandwich on a plate with a fork', 'A salad and sandwich not on a plate with a fork', 'A salad and sandwich on a plate with something. There is no fork.', 'A salad and sandwich on something with a fork. There is no plate.']",2.0,82.0,276.0,292.0
222,"a building with a road shade and a rough texture, and an archway in front of the building",8,4,3,1,1,"['There is no building with a road shade and a rough texture, and an archway in front of the building', 'A building with a road shade and a rough texture, and an archway in front of the building. There is no building.', 'A building with something and a rough texture, and an archway in front of the building. There is no road shade.', 'A building with a road shade and a rough texture, and an archway in front of the building. There is no texture.', 'A building with a road shade and a texture that is not rough, and an archway in front of the building']",114.0,121.0,260.0,371.0
243,"a car with a tag on the back, a door, and a sign",8,5,3,0,2,"['A car with a tag not on the back, a door, and a sign', 'A car with a tag on the back, a door, and a sign. There is no car.', 'A car with a tag on the back, something, and a sign. There is no door.', 'A car with something on the back, a door, and a sign. There is no tag.', 'There is no car with a tag on the back, a door, and a sign']",0.0,258.0,456.0,504.0
265,a flower on another flower with a center in the another flower and a petal on the another flower,8,4,4,0,1,"['A flower on another flower with something in the another flower and a petal on the another flower. There is no center.', 'A flower on another flower with a center in the another flower and a petal on the another flower. There is no flower.', 'A flower not on another flower with a center in the another flower and a petal not on the another flower', 'A flower on another flower with a center in the another flower and something on the another flower. There is no petal.', 'There is no flower on another flower with a center in the another flower and a petal on the another flower']",56.0,3.0,429.0,406.0
