image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
2359296,a door with panes in a room; the door has windows,7,5,2,0,3,"['A door with panes not in a room; the door has windows', 'A door with panes in something ; the door has windows. There is no room.', 'A door with something in a room; the door has windows. There are no panes.', 'A door with panes in a room; the door has windows. There are no windows.', 'There is no door with panes in a room; the door has windows']",4.0,44.0,495.0,254.0
4,"a table with a table top, a window, a chair, and padding",7,5,2,0,3,"['A table with a table-top, a window, a chair, and padding. There is no padding.', 'There is no table with a table-top, a window, a chair, and padding', 'A table with a table-top, a window, something, and padding. There is no chair.', 'A table with a table-top, something, a chair, and padding. There is no window.', 'A table with something, a window, a chair, and padding. There is no table-top.']",387.0,4.0,253.0,434.0
6,"a drinking bottle with a lid and handle, on a granite",7,4,3,0,1,"['A drinking bottle with a lid and handle, on a granite. There is no drinking bottle.', 'A drinking bottle with something and handle, on a granite. There is no lid.', 'A drinking bottle with a lid and handle, on a granite. There is no drawer.', 'A drinking bottle with a lid and handle, on a granite. There is no handle.', 'A drinking bottle with a lid and handle, on a granite. There is no top.']",476.0,75.0,322.0,521.0
16,a car on a street with a cone and light,7,4,3,0,1,"['A car on something with a cone and light. There is no street.', 'A car on a street with something and light. There is no cone.', 'There is no car on a street with a cone and light', 'A car on a street with a cone and light. There is no car.', 'A car on a street with a cone and light. There is no light.']",19.0,68.0,215.0,414.0
23,a tree casting shadows on the ground with a sign mounted to the tree,7,4,3,0,1,"['There is no tree casting shadows on the ground with a sign mounted to the tree', 'A tree casting shadows on something with a sign mounted to the tree. There is no ground.', 'A tree casting shadows on the ground with a sign mounted to the tree. There is no tree.', 'A tree not casting shadows on the ground with a sign mounted to the tree', 'A tree casting shadows on the ground with a sign mounted to the tree. There is no shadow.']",1.0,0.0,798.0,599.0
27,"an air conditioner next to a wall with a switch, and a reflection on the wall",7,4,3,0,1,"['There is no air conditioner next to a wall with a switch, and a reflection on the wall', 'An air conditioner next to a wall with something, and a reflection on the wall. There is no switch.', 'An air conditioner not next to a wall with a switch, and a reflection on the wall', 'An air conditioner next to a wall with a switch, and a reflection on the wall. There is no socket.', 'An air conditioner next to something with a switch, and a reflection on the wall. There is no wall.']",117.0,2.0,683.0,466.0
28,"a couch with a cloth, pillow, and another pillow",7,4,3,0,1,"{'A couch with a cloth, pillow, and another pillow. There is no couch.', 'There is no couch with a cloth, pillow, and another pillow', 'A couch with a cloth, pillow, and another pillow. There is no sofa.', 'A couch with a cloth, pillow, and another pillow. There is no pillow.', 'A couch with something, pillow, and another pillow. There is no cloth.'}",0.0,324.0,511.0,268.0
33,a rug on the floor with reflections of tiles,7,4,3,0,2,"['A rug not on the floor with reflections of tiles', 'A rug on something with reflections of tiles. There is no floor.', 'There is no rug on the floor with reflections of tiles', 'A rug on the floor with reflections of tiles. There is no rug.', 'A rug on the floor with reflections of tiles. There are no tiles.']",378.0,359.0,410.0,220.0
48,a taxi on the street with windows by the street and a building with windows,7,4,3,0,1,"['There is no taxi on the street with windows by the street and a building with windows', 'A taxi on the street with windows by the street and a building with windows. There is no taxi.', 'A taxi on something with windows by something and a building with windows. There is no street.', 'A taxi on the street with windows not by the street and a building with windows', 'A taxi on the street with something by the street and a building with windows. There are no windows.']",111.0,16.0,541.0,489.0
48,"a planter with plants, flowers, and another flowers",7,4,3,0,1,"{'There is no planter with plants, flowers, and another flowers', 'A planter with plants, flowers, and another flowers. There is no flower pot.', 'A planter with plants, flowers, and another flowers. There is no planter.', 'A planter with plants, flowers, and another flowers. There are no flowers.', 'A planter with plants, flowers, and another flowers. There are no plants.'}",31.0,402.0,277.0,189.0
53,a doorway to a building with no lighting; there is a tree in front of the building,7,4,3,0,1,"['A doorway to something with no lighting; there is a tree in front of the building. There is no building.', 'There is no doorway to a building with no lighting; there is a tree in front of the building', 'A doorway to a building with no lighting; there is a tree not in front of the building', 'A doorway to a building with no lighting; there is a tree in front of the building. There is no door.', 'A doorway to a building with no lighting; there is a tree in front not of the building']",5.0,3.0,465.0,476.0
57,a store with a sign that is hanging on a building that has an entrance,7,4,3,0,1,"['A store with a sign that is hanging on a building that has an entrance. There is no store.', 'A store with a sign that is not hanging on a building that has an entrance', 'A store with something that is hanging on a building that has an entrance. There is no sign.', 'A store with a sign that is hanging on something that has an entrance. There is no building.', 'A store with a sign that is hanging on a building that has something. There is no entrance.']",1.0,1.0,234.0,409.0
74,a screen on a wall with a woman and people on the screen,7,4,3,0,1,"['A screen on something with a woman and people on the screen. There is no wall.', 'A screen not on a wall with a woman and people not on the screen', 'A screen on a wall with a woman and people on the screen. There is no TV.', 'A screen on a wall with something and people on the screen. There is no woman.', 'A screen on a wall with a woman and people on the screen. There is no screen.']",469.0,23.0,293.0,506.0
92,a napkin with a spoon and fork on top of a placemat,7,4,3,0,1,"['A napkin with something and fork on top of a place mat. There is no spoon.', 'A napkin with a spoon and something on top of a place mat. There is no fork.', 'A napkin with a spoon and fork on top of a place mat. There is no napkin.', 'A napkin with a spoon and fork not on top of a place mat', 'A napkin with a spoon and fork on top of something. There is no place mat.']",8.0,138.0,432.0,219.0
94,a knife next to a plate with a shrimp and an egg on it,7,4,3,0,1,"['There is no knife next to a plate with a shrimp and an egg on it', 'A knife next to a plate with a shrimp and an egg not on it', 'A knife is not next to a plate with a shrimp and an egg on it', 'A knife next to a plate with a shrimp and something on it. There is no egg.', 'A knife next to something with a shrimp and an egg on it. There is no plate.']",28.0,22.0,402.0,343.0
129,"a tree with a fence around it, and wood and grass nearby",7,4,3,0,1,"{'A tree with something around it, and wood and grass nearby. There is no fence.', 'A tree with a fence around it, and something and grass nearby. There is no wood.', 'A tree with a fence around it, and wood and grass nearby. There is no tree.', 'There is no tree with a fence around it, and wood and grass nearby', 'A tree with a fence around it, and wood and something nearby. There are no grass.'}",0.0,13.0,778.0,443.0
164,"a building with a roof and a line, and a light inside the building",7,4,3,0,1,"{'A building with a roof and a line, and something inside the building. There is no light.', 'A building with a roof and a line, and a light inside the building. There is no building.', 'A building with something and a line, and a light inside the building. There is no roof.', 'There is no building with a roof and a line, and a light inside the building', 'A building with a roof and something, and a light inside the building. There is no line.'}",1.0,6.0,493.0,325.0
175,"bus with a license plate and a strip on the front, and headlights",7,4,2,1,2,"['Bus with a license plate and something on the front, and headlights. There is no strip.', 'There is no bus with a license plate and a strip on the front, and headlights', 'Bus with something and a strip on the front, and headlights. There is no license plate.', 'Bus with a license plate and a strip on the front, and headlights. There are no headlights.', 'Bus with a license plate and a strip on the front, and headlights. There are no buses.']",66.0,272.0,265.0,222.0
185,a door leading into an auditorium with seats and a balcony,7,4,3,0,1,"['A door leading into something with seats and a balcony. There is no auditorium.', 'There is no door leading into an auditorium with seats and a balcony', 'A door leading into an auditorium with seats and a balcony. There is no door.', 'A door leading into an auditorium with seats and a balcony', 'A door leading into an auditorium with something and a balcony. There are no seats.']",5.0,8.0,794.0,522.0
200,umbrella on table with tray and chair behind it,7,4,3,0,1,"['Umbrella on table with tray and something behind it. There is no chair.', 'Umbrella not on table with tray and chair behind it', 'Umbrella on something with tray and chair behind it. There is no table.', 'Umbrella on table with something and chair behind it. There is no tray.', 'Umbrella on table with tray and chair behind it. There is no umbrella.']",3.0,0.0,495.0,303.0
212,"a futon with a leg on the floor, and a rug on the floor",7,4,3,0,1,"['A futon with a leg on the floor, and something on the floor. There is no rug.', 'There is no futon with a leg on the floor, and a rug on the floor', 'A futon with a leg on the floor, and a rug on the floor. There is no futon.', 'A futon with a leg on something, and a rug on something. There is no floor.', 'A futon with a leg not on the floor, and a rug not on the floor']",0.0,280.0,399.0,318.0
212,"a speaker and another speaker mounted to a wall, and a lamp on the wall",7,4,3,0,1,"['A speaker and another speaker mounted to a wall, and a lamp not on the wall', 'A speaker and another speaker mounted to something, and a lamp on the wall. There is no wall.', 'A speaker and another speaker mounted to a wall, and a lamp on the wall. There is no speaker.', 'A speaker and another speaker mounted to a wall, and something on the wall. There is no lamp.', 'There is no speaker and another speaker mounted to a wall, and a lamp on the wall']",0.0,22.0,332.0,311.0
